name;group_name;group_folder_path;target
Cлесарные верстаки;Верстаки;нигерыю/s/Cлесарные верстаки - /k/;/k/rabochie-slesarnye-verstaki
Cлесарные верстаки купить;Верстаки;нигерыю/s/Cлесарные верстаки - /k/;/k/rabochie-slesarnye-verstaki
Cлесарные верстаки цена;Верстаки;нигерыю/s/Cлесарные верстаки - /k/;/k/rabochie-slesarnye-verstaki
Верстак однотумбовый;Верстаки;нигерыю/s/Верстак однотумбовый - /k/;/k/f-verstak-odnotumbovyy
Верстак однотумбовый купить;Верстаки;нигерыю/s/Верстак однотумбовый - /k/;/k/f-verstak-odnotumbovyy
Верстак однотумбовый цена;Верстаки;нигерыю/s/Верстак однотумбовый - /k/;/k/f-verstak-odnotumbovyy
Верстак деревянный;Верстаки;нигерыю/s/Верстак деревянный - /k/;/k/f-verstak-derevyannyy
Верстак деревянный купить;Верстаки;нигерыю/s/Верстак деревянный - /k/;/k/f-verstak-derevyannyy
Верстак деревянный цена;Верстаки;нигерыю/s/Верстак деревянный - /k/;/k/f-verstak-derevyannyy
Рабочие столярные верстаки;Верстаки;нигерыю/s/Рабочие столярные верстаки - /k/;/k/rabochie-stolyarnye-verstaki
Рабочие столярные верстаки купить;Верстаки;нигерыю/s/Рабочие столярные верстаки - /k/;/k/rabochie-stolyarnye-verstaki
Рабочие столярные верстаки цена;Верстаки;нигерыю/s/Рабочие столярные верстаки - /k/;/k/rabochie-stolyarnye-verstaki
Верстак складной;Верстаки;нигерыю/s/Верстак складной - /k/;/k/f-verstak-skladnoy
Верстак складной купить;Верстаки;нигерыю/s/Верстак складной - /k/;/k/f-verstak-skladnoy
Верстак складной цена;Верстаки;нигерыю/s/Верстак складной - /k/;/k/f-verstak-skladnoy
Верстак универсальный;Верстаки;нигерыю/s/Верстак универсальный - /k/;/k/f-verstak-universalnyy
Верстак универсальный купить;Верстаки;нигерыю/s/Верстак универсальный - /k/;/k/f-verstak-universalnyy
Верстак универсальный цена;Верстаки;нигерыю/s/Верстак универсальный - /k/;/k/f-verstak-universalnyy
Верстак-тиски;Верстаки;нигерыю/s/Верстак-тиски - /k/;/k/f-verstak-tiski
Верстак-тиски купить;Верстаки;нигерыю/s/Верстак-тиски - /k/;/k/f-verstak-tiski
Верстак-тиски цена;Верстаки;нигерыю/s/Верстак-тиски - /k/;/k/f-verstak-tiski
Столешница для верстака;Верстаки;нигерыю/s/Столешница для верстака - /k/;/k/f-stoleshnica-dlya-verstaka
Столешница для верстака купить;Верстаки;нигерыю/s/Столешница для верстака - /k/;/k/f-stoleshnica-dlya-verstaka
Столешница для верстака цена;Верстаки;нигерыю/s/Столешница для верстака - /k/;/k/f-stoleshnica-dlya-verstaka
Однотумбовые рабочие верстаки;Верстаки;нигерыю/s/Однотумбовые рабочие верстаки - /k/;/k/odnotumbovye-rabochie-verstaki
Однотумбовые рабочие верстаки купить;Верстаки;нигерыю/s/Однотумбовые рабочие верстаки - /k/;/k/odnotumbovye-rabochie-verstaki
Однотумбовые рабочие верстаки цена;Верстаки;нигерыю/s/Однотумбовые рабочие верстаки - /k/;/k/odnotumbovye-rabochie-verstaki
Верстак столярный;Верстаки;нигерыю/s/Верстак столярный - /k/;/k/f-verstak-stolyarnyy
Верстак столярный купить;Верстаки;нигерыю/s/Верстак столярный - /k/;/k/f-verstak-stolyarnyy
Верстак столярный цена;Верстаки;нигерыю/s/Верстак столярный - /k/;/k/f-verstak-stolyarnyy
Рабочие металлические верстаки;Верстаки;нигерыю/s/Рабочие металлические верстаки - /k/;/k/rabochie-metallicheskie-verstaki
Рабочие металлические верстаки купить;Верстаки;нигерыю/s/Рабочие металлические верстаки - /k/;/k/rabochie-metallicheskie-verstaki
Рабочие металлические верстаки цена;Верстаки;нигерыю/s/Рабочие металлические верстаки - /k/;/k/rabochie-metallicheskie-verstaki
Верстак для мастерской;Верстаки;нигерыю/s/Верстак для мастерской - /k/;/k/f-verstak-dlya-masterskoy
Верстак для мастерской купить;Верстаки;нигерыю/s/Верстак для мастерской - /k/;/k/f-verstak-dlya-masterskoy
Верстак для мастерской цена;Верстаки;нигерыю/s/Верстак для мастерской - /k/;/k/f-verstak-dlya-masterskoy
Козлы складные;Верстаки;нигерыю/s/Козлы складные - /k/;/k/kozly-skladnye
